Australia,20 Mar 2016,Nico Rosberg,MERCEDES,57,1:48:15.565
Bahrain,03 Apr 2016,Nico Rosberg,MERCEDES,57,1:33:34.696
China,17 Apr 2016,Nico Rosberg,MERCEDES,56,1:38:53.891
Russia,01 May 2016,Nico Rosberg,MERCEDES,53,1:32:41.997
Spain,15 May 2016,Max Verstappen,RED BULL RACING TAG HEUER,66,1:41:40.017
Monaco,29 May 2016,Lewis Hamilton,MERCEDES,78,1:59:29.133
Canada,12 Jun 2016,Lewis Hamilton,MERCEDES,70,1:31:05.296
Europe,19 Jun 2016,Nico Rosberg,MERCEDES,51,1:32:52.366
Austria,03 Jul 2016,Lewis Hamilton,MERCEDES,71,1:27:38.107
Great Britain,10 Jul 2016,Lewis Hamilton,MERCEDES,52,1:34:55.831
Hungary,24 Jul 2016,Lewis Hamilton,MERCEDES,70,1:40:30.115
Germany,31 Jul 2016,Lewis Hamilton,MERCEDES,67,1:30:44.200
Belgium,28 Aug 2016,Nico Rosberg,MERCEDES,44,1:44:51.058
Italy,04 Sep 2016,Nico Rosberg,MERCEDES,53,1:17:28.089
Singapore,18 Sep 2016,Nico Rosberg,MERCEDES,61,1:55:48.950
Malaysia,02 Oct 2016,Daniel Ricciardo,RED BULL RACING TAG HEUER,56,1:37:12.776
Japan,09 Oct 2016,Nico Rosberg,MERCEDES,53,1:26:43.333
United States,23 Oct 2016,Lewis Hamilton,MERCEDES,56,1:38:12.618
Mexico,30 Oct 2016,Lewis Hamilton,MERCEDES,71,1:40:31.402
Brazil,13 Nov 2016,Lewis Hamilton,MERCEDES,71,3:01:01.335
Abu Dhabi,27 Nov 2016,Lewis Hamilton,MERCEDES,55,1:38:04.013
Australia,15 Mar 2015,Lewis Hamilton,MERCEDES,58,1:31:54.067
Malaysia,29 Mar 2015,Sebastian Vettel,FERRARI,56,1:41:05.793
China,12 Apr 2015,Lewis Hamilton,MERCEDES,56,1:39:42.008
Bahrain,19 Apr 2015,Lewis Hamilton,MERCEDES,57,1:35:05.809
Spain,10 May 2015,Nico Rosberg,MERCEDES,66,1:41:12.555
Monaco,24 May 2015,Nico Rosberg,MERCEDES,78,1:49:18.420
Canada,07 Jun 2015,Lewis Hamilton,MERCEDES,70,1:31:53.145
Austria,21 Jun 2015,Nico Rosberg,MERCEDES,71,1:30:16.930
Great Britain,05 Jul 2015,Lewis Hamilton,MERCEDES,52,1:31:27.729
Hungary,26 Jul 2015,Sebastian Vettel,FERRARI,69,1:46:09.985
Belgium,23 Aug 2015,Lewis Hamilton,MERCEDES,43,1:23:40.387
Italy,06 Sep 2015,Lewis Hamilton,MERCEDES,53,1:18:00.688
Singapore,20 Sep 2015,Sebastian Vettel,FERRARI,61,2:01:22.118
Japan,27 Sep 2015,Lewis Hamilton,MERCEDES,53,1:28:06.508
Russia,11 Oct 2015,Lewis Hamilton,MERCEDES,53,1:37:11.024
